종목명,ROE(자본수익률),EV/EABITDA(이익수익률),상승률,상승/하락,2019시초가,현재가
모나미,0.84,8.09,0.966,하락,2680,2590
모다,n/a,n/a,1.0,보합,155,155
모다이노칩,7.8,6.87,1.153,상승,4095,4720
모두투어,9.31,23.46,0.859,하락,24150,20750
모두투어리츠,2.16,17.79,0.927,하락,3235,3000
모바일리더,13.44,8.97,3.588,상승,9810,35200
모바일어플라이언스,7.06,16.98,1.312,상승,5260,6900
모베이스,9.79,2.16,1.986,상승,3590,7130
모비스,n/a,n/a,0.621,하락,4390,2725
모아텍,1.42,24.1,1.073,상승,4400,4720
모토닉,2.47,19.42,1.165,상승,10000,11650
모트렉스,1.03,20.9,0.922,하락,4050,3735
모헨즈,5.2,17.56,0.958,하락,5740,5500
무림P&P,11.83,4.79,0.905,하락,6080,5500
무림SP,5.63,15.28,1.052,상승,2695,2835
무림페이퍼,8.06,5.8,1.163,상승,2820,3280
무학,n/a,20.67,0.838,하락,13550,11350
문배철강,4.7,19.32,1.035,상승,2970,3075
미디어젠,n/a,2882.26,1.32,상승,10150,13400
미래SCI,n/a,n/a,1.471,상승,1360,2000
미래나노텍,4.19,6.94,1.466,상승,3280,4810
미래산업,n/a,n/a,0.849,하락,179,152
미래생명자원,6.69,24.87,1.246,상승,3025,3770
미래아이앤지,n/a,n/a,1.046,상승,323,338
미래에셋대우,5.83,n/a,1.167,상승,6590,7690
미래에셋대우스팩1호,0.44,n/a,1.048,상승,2065,2165
미래에셋대우스팩2호,n/a,n/a,1.199,상승,2040,2445
미래에셋벤처투자,n/a,n/a, n/a, n/a, n/a, n/a
미래에셋생명,5.18,n/a,1.013,상승,4580,4640
미래에셋제5호스팩,0.18,n/a,3.002,상승,2095,6290
미래컴퍼니,19.53,14.11,0.996,하락,50200,50000
미래테크놀로지,n/a,8.31,1.112,상승,8390,9330
