종목명,PBR,GP/A
에쓰씨엔지니어링,nan,nan
에어부산,nan,nan
에이디테크놀로지,2.28,0.07
에이리츠,nan,nan
에이블씨엔씨,1.16,0.26
에이스침대,nan,nan
에이스테크,3.77,0.14
에이엔피,0.63,0.01
에이치시티,1.38,0.14
에이프로젠 KIC,1.47,0.01
에이프로젠제약,0.97,0.05
에이피티씨,nan,nan
에코바이오,1.15,0.04
에프알텍,1.52,0.04
에프앤가이드,1.36,0.19
엑세스바이오,2.74,0.06
엔브이에이치코리아,0.57,0.06
엔에스쇼핑,0.94,0.22
엔케이,0.87,0.04
엔케이물산,2.52,0.0
엔피씨,0.58,0.08
엘앤씨바이오,2.97,0.15
엘앤에프,4.68,0.02
엠에스오토텍,1.13,0.07
영보화학,0.53,0.09
영원무역,0.95,0.1
영원무역홀딩스,0.65,0.11
영인프런티어,nan,nan
영진약품,nan,nan
영풍,0.42,0.02
영풍제지,nan,nan
영화금속,nan,nan
영흥철강,0.44,0.04
예스코홀딩스,0.39,0.06
오뚜기,1.7,0.1
오르비텍,1.58,0.03
오리엔트바이오,1.81,0.02
오리온홀딩스,0.56,0.1
오성첨단소재,0.69,0.02
와이엔텍,1.25,0.05
와이지-원,0.89,0.07
용평리조트,0.94,0.0
우리들제약,1.42,0.26
우리들휴브레인,3.22,0.02
우성사료,0.63,0.08
우신시스템,0.95,0.03
우진,1.04,0.02
우진플라임,0.8,0.06
웅진,0.75,0.05
웅진코웨이,5.05,0.38
원림,0.45,0.06
월덱스,1.38,0.14
웹케시,nan,nan
윈팩,nan,nan
윌비스,0.49,0.07
유나이티드,nan,nan
유니드,0.65,0.09
유니슨,1.67,0.02
유니온,0.64,0.06
유니온머티리얼,1.29,0.06
유니켐,2.02,0.08
유니퀘스트,0.98,0.06
유성기업,0.29,0.03
유엔젤,1.23,0.07
유진테크,1.04,0.2
유티아이,4.74,0.16
유한양행,1.77,0.1
율촌화학,1.03,0.05
이구산업,nan,nan
이노션,1.93,0.13
이노와이어리스,2.18,0.21
이마트,0.44,0.11
이수페타시스,1.34,0.04
이스타코,0.65,0.02
이씨에스,nan,nan
이아이디,2.57,0.0
이엠텍,1.09,0.09
이월드,nan,nan
이즈미디어,1.15,0.13
이화공영,nan,nan
이화산업,0.45,0.03
인디에프,2.5,0.36
인산가,1.83,0.2
인스코비,6.62,0.32
인지디스플레,0.45,0.07
인지컨트롤스,0.51,0.05
인터엠,0.84,0.14
