종목명,시가총액,매출액,PSR,상승률,상승하락,년초가,현재가,결산월
이즈미디어,37408950,789,47413.12,1.194,상승,5400,6450,2018/12
이지바이오,339452220,15094,22489.22,0.874,하락,6110,5340,2018/12
이지웰페어,75648230,731,103485.95,1.074,상승,7660,8230,2018/12
이크레더블,188488600,372,506689.78,1.179,상승,15600,18400,2018/12
이테크건설,222040000,14879,14923.05,1.135,상승,80100,90900,2018/12
이트론,42711100,85,502483.53,1.395,상승,185,258,2018/12
이퓨쳐,18050665,98,184190.46,1.96,상승,3735,7320,2018/12
이화공영,130719600,1865,70090.94,0.774,하락,6940,5370,2018/12
이화산업,53760000,691,77800.29,0.884,하락,19450,17200,2018/12
이화전기,160742811,420,382720.98,0.863,하락,277,239,2018/12
인디에프,144975180,1976,73368.01,1.199,상승,2690,3225,2018/12
인바디,294206000,996,295387.55,1.18,상승,21900,25850,2018/12
인베니아,67860000,1728,39270.83,1.153,상승,2905,3350,2018/12
인산가,38908890,252,154400.36,1.053,상승,1615,1700,2018/12
인선이엔티,223253900,1760,126848.81,1.215,상승,6380,7750,2018/12
인성정보,57090840,2580,22128.23,0.958,하락,2995,2870,2018/12
인스코비,462970680,586,790052.35,0.525,하락,5040,2645,2018/12
인지디스플레,58566935,5144,11385.49,1.604,상승,1655,2655,2018/12
인지컨트롤스,105513600,5041,20931.09,0.895,하락,6970,6240,2018/12
인천도시가스,128625000,5844,22009.75,0.997,하락,29500,29400,2018/12
인콘,194530400,410,474464.39,0.693,하락,2950,2045,2018/12
인크로스,116574600,358,325627.37,1.276,상승,15950,20350,2018/12
인탑스,205540000,7156,28722.75,1.284,상승,11600,14900,2018/12
인터로조,275683500,794,347208.44,0.894,하락,25000,22350,2018/12
인터불스,23387400,49,477293.88,0.839,하락,2800,2350,2018/12
인터엠,73552275,1026,71688.38,0.789,하락,3300,2605,2018/09
인터지스,68271660,4924,13865.08,1.052,상승,2310,2430,2018/12
인터파크,165675000,5285,31348.16,1.012,상승,5160,5220,2018/12
인터파크홀딩스,134550000,34409,3910.31,0.928,하락,2370,2200,2018/12
인터플렉스,242600800,3139,77286.01,0.977,하락,11000,10750,2018/12
인텍플러스,47264040,161,293565.47,1.286,상승,4400,5660,2018/12
인텔리안테크,103908350,1098,94634.2,2.258,상승,13350,30150,2018/12
인트로메딕,66858675,99,675340.15,0.946,하락,3700,3500,2018/12
인트론바이오,638514036,206,3099582.7,0.631,하락,21727,13700,2018/12
인팩,30250000,3504,8632.99,1.297,상승,3115,4040,2018/12
인포마크,36280000,1185,30616.03,1.04,상승,10000,10400,2018/12
인포바인,74077600,203,364914.29,0.93,하락,22900,21300,2018/12
인포뱅크,65291940,1220,53517.98,0.921,하락,7330,6750,2018/12
인프라웨어,52260885,225,232270.6,0.971,하락,1400,1360,2018/12
인피니트헬스케어,146863920,643,228404.23,0.978,하락,5900,5770,2018/12
인화정공,59164880,998,59283.45,0.766,하락,6280,4810,2018/12
일동제약,461334500,5039,91552.79,0.928,하락,20700,19200,2018/12
일동홀딩스,140838400,471,299019.96,0.958,하락,13200,12650,2018/12
일성건설,74284375,3640,20407.8,0.938,하락,1455,1365,2018/12
일성신약,253764000,617,411286.87,0.944,하락,94600,89300,2018/12
일신바이오,78262320,154,508196.88,0.925,하락,1810,1675,2018/12
일신방직,230880000,4923,46898.23,0.956,하락,95300,91100,2018/12
일신석재,166145265,541,307107.7,1.305,상승,2380,3105,2018/12
일야,22896000,288,79500.0,0.898,하락,1515,1360,2018/12
일양약품,519139200,3000,173046.4,0.899,하락,27700,24900,2018/12
일정실업,22680000,480,47250.0,1.003,상승,19100,19150,2018/12
일지테크,31622760,2285,13839.28,1.77,상승,2350,4160,2018/12
일진다이아,315141154,1340,235179.97,1.336,상승,27991,37400,2018/12
일진디스플,92445210,2064,44789.35,1.709,상승,3225,5510,2018/12
일진머티리얼즈,1816773400,5020,361907.05,0.978,하락,41300,40400,2018/12
일진전기,109942200,7314,15031.75,1.036,상승,3020,3130,2018/12
일진파워,85196350,1576,54058.6,1.043,상승,5770,6020,2018/12
일진홀딩스,149768145,9294,16114.5,1.069,상승,3040,3250,2018/12
잇츠한불,551514350,2141,257596.61,0.772,하락,27200,21000,2018/12
잉글우드랩,120002720,1188,101012.39,0.812,하락,6290,5110,2018/12
잉크테크,44695800,553,80824.23,1.796,상승,2725,4895,2018/12
자연과환경,51195092,248,206431.82,0.826,하락,1574,1300,2018/12
자이글,114607570,558,205389.91,1.078,상승,8800,9490,2018/12
자화전자,207640000,3583,57951.44,0.891,하락,11950,10650,2018/12
장원테크,107601000,1183,90956.04,1.01,상승,2980,3010,2018/12
재영솔루텍,73704390,1286,57312.9,1.063,상승,1105,1175,2018/12
전방,28476000,1493,19073.01,1.006,상승,17300,17400,2018/12
전진바이오팜,43496270,14,3106876.43,1.346,상승,9660,13000,2018/12
전파기지국,132678600,659,201333.23,1.515,상승,2600,3940,2018/12
정다운,65080100,1055,61687.3,0.866,하락,3205,2775,2018/12
정산애강,110841300,650,170525.08,0.995,하락,2180,2170,2018/12
정상제이엘에스,108491760,871,124560.0,1.063,상승,7000,7440,2018/12
정원엔시스,54111120,1478,36611.04,0.956,하락,1700,1625,2018/12
제낙스,331683250,52,6378524.04,0.933,하락,12750,11900,2018/12
제너셈,15258060,283,53915.41,1.275,상승,1710,2180,2018/12
제넥신,1442146200,129,11179427.91,0.788,하락,73200,57700,2018/12
제넨바이오,94785975,70,1354085.36,1.654,상승,1490,2465,2018/12
제노레이,83540000,563,148383.66,0.905,하락,19500,17650,2018/12
제노텍,20716300,31,668267.74,0.459,하락,3700,1700,2018/12
제노포커스,150967360,115,1312759.65,0.973,하락,7100,6910,2018/12
제닉,45360000,690,65739.13,0.954,하락,6520,6220,2018/12
제로투세븐,133820440,1753,76337.96,1.65,상승,6850,11300,2018/12
제룡산업,85300000,320,266562.5,0.631,하락,9610,6060,2018/12
제룡전기,130102200,425,306122.82,0.754,하락,8930,6730,2018/12
제미니투자,34573710,44,785766.14,1.269,상승,635,806,2019/03
제우스,118377600,4536,26097.35,1.101,상승,11400,12550,2018/12
제이브이엠,207340250,1036,200135.38,1.134,상승,33600,38100,2018/12
제이스테판,43043350,222,193888.96,1.384,상승,1600,2215,2018/12
제이스텍,78829200,1262,62463.71,1.959,상승,5410,10600,2018/12
제이씨케미칼,73921400,1813,40772.97,0.933,하락,3965,3700,2018/12
제이씨현시스템,91651630,2747,33364.26,0.953,하락,4880,4650,2018/12
제이에스코퍼레이션,146029200,2056,71025.88,1.231,상승,11050,13600,2018/12
제이에스티나,90441920,1274,70990.52,0.961,하락,5920,5690,2018/12
제이엔케이히터,98125090,1505,65199.4,0.987,하락,5550,5480,2018/12
제이엠아이,35185320,1248,28193.37,0.827,하락,1075,889,2018/12
제이엠티,45889520,1470,31217.36,0.9,하락,2845,2560,2018/12
제이웨이,22779190,131,173886.95,0.75,하락,1340,1005,2018/12
제이준코스메틱,282480600,1320,214000.45,0.506,하락,11050,5590,2018/12
제이콘텐트리,656954640,5113,128487.12,1.02,상승,4530,4620,2018/12
제이티,25994115,349,74481.7,1.639,상승,2550,4180,2018/12
제일기획,2565414300,34779,73763.31,1.293,상승,22500,29100,2018/12
제일바이오,56325000,278,202607.91,1.081,상승,3760,4065,2018/12
제일약품,652902000,6271,104114.5,0.739,하락,47450,35050,2018/12
제일연마,62100000,822,75547.45,1.071,상승,6210,6650,2018/12
제일제강,36444800,305,119491.15,1.449,상승,1370,1985,2018/12
제일테크노스,34560000,1608,21492.54,1.208,상승,3830,4625,2018/12
제일파마홀딩스,403318250,1427,282633.67,0.802,하락,26000,20850,2018/12
제주반도체,103819235,1487,69817.91,0.978,하락,3570,3490,2018/12
제주은행,149721140,1925,77777.22,0.979,하락,4685,4585,2018/12
제주항공,892184450,12594,70842.02,0.827,하락,33600,27800,2018/12
젬백스,409016000,472,866559.32,1.098,상승,12250,13450,2018/12
조광ILI,47996530,246,195107.85,1.162,상승,5010,5820,2018/12
조광페인트,81152000,2095,38736.04,0.954,하락,6500,6200,2018/12
조광피혁,235707050,1277,184578.74,1.022,상승,34800,35550,2018/12
조비,116300800,605,192232.73,0.879,하락,24000,21100,2018/12
조선내화,336800000,7892,42676.13,1.024,상승,83000,85000,2018/12
조선선재,98249800,627,156698.25,1.023,상승,78700,80500,2018/12
조아제약,123431600,631,195612.68,0.923,하락,4415,4075,2018/12
조이맥스,48223350,288,167442.19,0.94,하락,5800,5450,2018/12
조이시티,120775750,872,138504.3,0.798,하락,10200,8140,2018/12
조일알미늄,62431200,3177,19650.99,1.007,상승,891,897,2018/12
조흥,107700000,1681,64069.01,0.878,하락,181000,159000,2018/12
종근당,1037000000,9562,108450.12,0.878,하락,102000,89600,2018/12
