모나미,2.46,2.67
모다,0,0
모다이노칩,0,0
모두투어,1.48,1.45
모두투어리츠,1.95,2.63
모바일리더,0,0
모바일어플라이언스,0,0
모베이스,1.53,2.89
모비스,0,0
모아텍,0,0
모토닉,3.8,3.0
모트렉스,2.22,0
모헨즈,0,0
무림P&P,3.31,4.13
무림SP,1.21,1.3
무림페이퍼,1.02,1.77
무학,1.78,2.57
문배철강,1.76,1.73
미디어젠,0,0
미래SCI,0,0
미래나노텍,0,0
미래산업,0,0
미래생명자원,0,0
미래아이앤지,0,0
미래에셋대우,2.45,3.37
미래에셋대우스팩1호,0,0
미래에셋대우스팩2호,0,0
미래에셋벤처투자,0,0
미래에셋생명,3.24,3.69
미래에셋제5호스팩,0,0
미래컴퍼니,0.44,0.58
미래테크놀로지,1.17,1.43
미스터블루,0.46,0.84
미애부,0,0
미원상사,0,1.94
미원에스씨,0.86,1.86
미원홀딩스,0,1.16
미원화학,1.7,2.31
미창석유공업,1.98,2.09
미코,0,0.85
미코바이오메드,0,0
미투온,0,0
민앤지,1.0,1.49
바다로19호,12.24,12.23
바디텍메드,0.28,0.47
바른손,0,0
바른손이앤에이,0,0
바른전자,0,0
바른테크놀로지,0,0
바이넥스,0,0
바이오니아,0,0
바이오로그디바이스,0,0
바이오리더스,0,0
바이오빌,0,0
바이오솔루션,0,0
바이오스마트,0,0
바이오시네틱스,0,0
바이오제네틱스,0,0
바이오코아,0,0
바이오톡스텍,0,0
바이오프로테크,0,0
바이온,0,0
바이옵트로,0,0
바텍,0.29,0.46
방림,0,0
배럴,0,0
백광산업,0.95,2.01
백광소재,3.61,3.85
백금T&A,0,1.8
백산,1.44,1.58
버추얼텍,0,0
버킷스튜디오,0,0
범양건영,0,0
베뉴지,2.5,1.69
베셀,2.23,2.42
베스파,0,0
베트남개발1,0,0
벽산,0.63,0.61
보광산업,2.73,1.26
보라티알,0,2.35
보락,0.65,0.24
보령메디앙스,0,0
보령제약,1.66,0.6
보성파워텍,0,0
보해양조,0,0
본느,0,0
볼빅,0,0
부광약품,0.77,0.62
부국증권,4.77,5.35
부국철강,2.69,2.52
부방,0,0
부산도시가스,1.39,1.34
부산산업,0.84,0.15
부산주공,0,0
부스타,1.75,0.99
뷰웍스,0.49,0.91
브레인콘텐츠,0,0
브리지텍,1.66,3.37
브이원텍,0,1.06
블러썸엠앤씨,0,0
블루콤,0.74,0
비나텍,0,0
비덴트,0,0
비디아이,1.26,0
비상교육,2.94,3.22
비씨월드제약,0.41,0.45
비아트론,0.48,1.0
비에이치,0,0
비에이치아이,0,0
비엔디생활건강,0,0
비엔에프코퍼레이션,0,0
비엠티,1.65,2.04
비즈니스온,1.86,1.56
비츠로셀,0,0
비츠로시스,0,0
비츠로테크,0,0.91
비트컴퓨터,0,0
비티원,0,0
비플라이소프트,0,0
비피도,0,0
빅솔론,2.26,2.87
빅텍,0,1.32
빅텐츠,0,0
빙그레,1.98,1.86
빛샘전자,1.71,0.85
사람인에이치알,0.28,2.15
사조대림,0.61,0.62
사조동아원,0,0
사조산업,0.29,0.5
사조씨푸드,1.13,1.1
사조오양,0.92,0.51
사조해표,0,0.99
삼강엠앤티,0,0
삼광글라스,0.8,2.6
삼기오토모티브,2.57,1.81
삼륭물산,1.48,1.57
삼목에스폼,0.83,0.87
삼보모터스,1.16,0.96
삼보산업,0,0
삼보판지,0.71,0.56
삼본전자,2.26,0
삼부토건,0,0
삼성SDI,0.49,0.46
삼성공조,0.87,0.88
삼성머스트스팩3호,0,0
삼성물산,1.59,1.9
삼성바이오로직스,0,0
삼성생명,1.61,3.25
삼성스팩2호,0,0
삼성에스디에스,1.0,0.98
삼성엔지니어링,0,0
삼성전기,0.75,0.97
삼성전자,1.67,3.66
삼성제약,0,0
삼성중공업,0,0
삼성증권,2.73,4.44
삼성출판사,1.26,0.9
삼성카드,3.79,4.63
삼성화재해상보험,3.75,4.28
삼아알미늄,1.69,2.38
삼아제약,1.55,1.58
삼양사,1.35,2.73
삼양식품,0.26,0.77
삼양옵틱스,7.16,8.53
삼양통상,1.82,1.76
삼양패키징,0,2.98
삼양홀딩스,1.64,2.55
삼영무역,1.55,2.0
삼영엠텍,1.26,1.77
삼영이엔씨,3.17,0
삼영전자공업,1.92,2.11
삼영화학공업,0,0
삼우엠스,0,0
삼원강재,3.45,4.05
삼원테크,0,0
삼익THK,1.84,3.07
삼익악기,2.13,2.79
삼일,2.46,2.53
삼일기업공사,3.1,2.98
삼일제약,1.77,0.49
삼정펄프,2.41,0
삼지전자,1.47,1.42
삼진,1.57,1.39
삼진엘앤디,0,3.61
삼진제약,2.23,1.99
삼천당제약,0.32,0.13
삼천리,2.65,3.3
삼천리자전거,1.1,0
삼표시멘트,1.62,0
삼현철강,3.55,3.25
삼호,0,1.74
삼호개발,3.5,3.17
삼화네트웍스,0,0
삼화왕관,2.7,2.88
삼화전기,0.38,0.46
삼화전자공업,0,0
삼화콘덴서공업,0.35,0.56
삼화페인트공업,2.37,1.81
상보,0,0
상상인,0,0
상상인인더스트리,0,0
상상인증권,0,0
상신브레이크,2.24,2.37
상신이디피,0.62,0.56
상신전자,2.47,1.25
상아프론테크,0.98,1.21
상지카일룸,0,0
새로닉스,0.53,0.98
새론오토모티브,2.0,2.55
샘코,0,0
샘표,0.66,0.6
샘표식품,0.57,0.72
서린바이오,0.8,0.91
서부T&D,0.0,0.0
서산,0.63,0.37
서암기계공업,1.57,0.71
서연,1.36,1.38
서연이화,1.49,2.25
서연전자,1.3,1.34
서연탑메탈,0,1.28
서울도시가스,1.86,2.05
서울리거,0,0
서울반도체,0.66,1.47
서울식품공업,0,0
서울옥션,0.9,1.14
서울전자통신,0,0
서울제약,0.14,0
서원,0,1.39
서원인텍,3.65,6.37
서전기전,0,1.17
서진시스템,0.29,1.15
서진오토모티브,0,0
서플러스글로벌,1.0,1.31
서한,1.76,2.15
서호전기,6.32,4.26
서흥,0.92,1.5
서희건설,1.18,1.26
선광,1.88,2.35
선데이토즈,0,0
선도전기,0.63,0.45
선바이오,0,0
선익시스템,0,1.32
선진,0,0.44
선창산업,0,1.32
성광벤드,1.0,0.88
성도이엔지,2.19,2.02
성문전자,0.0,0.0
성보화학,9.44,3.67
성신양회,0,1.26
성안,0,0
성우전자,1.85,2.8
성우테크론,1.17,1.82
성우하이텍,2.39,2.2
성창기업지주,0,0
성창오토텍,0.6,0.6
성호전자,0,0
세기상사,0,0
세동,0,0
세명전기,1.4,1.14
세미콘라이트,0,0
세방,1.39,1.46
세방전지,1.12,1.39
세보엠이씨,2.02,3.26
세아베스틸,3.1,4.8
세아제강,0,0
세아제강지주,2.19,3.65
세아특수강,3.73,6.04
세아홀딩스,1.32,2.57
세우글로벌,0,0
세운메디칼,1.1,1.33
세원,0,0
세원물산,1.1,0.97
세원셀론텍,0,0
세원정공,0,0
세이브존I&C,1.02,1.46
세종공업,1.32,0.64
세종머티리얼즈,0,0
세종메디칼,0,0
세종텔레콤,0,0
세중,0,0
세진중공업,1.06,0.51
세진티에스,0,0
세코닉스,0.0,0.0
세하,0,0
세화아이엠씨,0,0
세화피앤씨,0.52,0.37
셀루메드,0,0
셀리드,0,0
셀리버리,0,0
셀바스AI,0,0
셀바스헬스케어,0,0
셀젠텍,0,0
셀트리온,0.0,0.0
셀트리온제약,0.0,0
셀트리온헬스케어,0.0,0.0
소리바다,0,0
소프트센,0,0
소프트캠프,0,0
손오공,0,0
솔고바이오,0,0
솔루에타,0,0
솔본,0,0
솔브레인,1.04,1.58
솔트웍스,0,0
송원산업,0.52,0.84
쇼박스,0.93,1.66
수산아이앤티,1.37,1.1
수산중공업,0,0
수성,0,0
수젠텍,0,0
수프로,0,0
슈펙스비앤피,0,0
슈프리마,0,0
슈프리마에이치큐,0,0
슈피겐코리아,1.1,2.2
스맥,1.28,1.68
스카이문스테크놀로지,0,0
스킨앤스킨,0,0
스타플렉스,1.52,2.0
스템랩,0,0
스튜디오드래곤,0,0
스튜디오썸머,0,0
스페코,0,0
승일,0.87,1.89
시공테크,1.78,0.33
시그네틱스,0,0
시그넷이브이,0,0
시너지이노베이션,0,0
시노펙스,0,0
시디즈,0,0.83
시스웍,0.55,1.26
시큐브,0.54,0.69
시큐센,0,0
신대양제지,1.08,1.26
신도리코,2.6,3.49
신라교역,3.04,3.88
신라섬유,0,0
신라에스지,0,0
신라젠,0,0
신성델타테크,1.24,1.47
신성이엔지,0,0
신성통상,0,0
신세계,0.42,0.78
신세계I&C,1.21,1.33
신세계건설,2.86,3.13
신세계인터내셔날,0.81,0.44
신세계푸드,0.57,0.88
신송홀딩스,0,0
신스타임즈,0,0
신신제약,0.44,0.45
신영스팩4호,0,0
신영와코루,1.0,1.15
신영증권,0,0
신원,0,0
신원종합개발,0,0
신일산업,1.43,1.92
신일제약,1.15,1.44
신진에스엠,1.71,1.38
신풍제약,0,0
신풍제지,0,6.13
신한,0,0
신한알파리츠,0,0
신한제3호스팩,0,0
신한제4호스팩,0,0
신한지주,2.94,4.04
신화실업,0.58,0.49
신화인터텍,0,0
신화콘텍,0.38,0
신흥,1.8,1.94
신흥에스이씨,0.43,0.42
실리콘웍스,1.32,2.47
심텍,2.51,2.36
심텍홀딩스,0.86,0.56
싸이맥스,1.47,3.25
싸이토젠,0,0
쌍방울,0,0
쌍용양회공업,5.74,5.88
쌍용자동차,0,0
쌍용정보통신,0,0
써니전자,0,0
썬테크,0,0
썬텍,0,0
썸에이지,0,0
쎄노텍,0,0
쎄니트,1.9,1.49
쎄미시스코,0.35,0.27
쎄트렉아이,0.74,0.85
쎌바이오텍,1.38,2.14
쏠리드,0.0,0.0
씨씨에스,0,0
씨아이에스,0,0
씨아이테크,0,0
씨알푸드,0,0
씨앗,0,0
씨앤에스링크,0,0
씨앤지하이테크,0,1.71
씨에스윈드,1.34,1.45
씨엔플러스,0,0
씨엠에스에듀,3.39,3.87
씨유메디칼,0,0
씨이랩,0,0
씨젠,0,0
씨케이에이치,0,0
씨큐브,1.57,2.24
씨트리,0,0
씨티네트웍스,0,0
씨티씨바이오,0,0
씨티젠,0,0
