순위,종목코드,종목명,현재가,대비,등락률,거래량,거래대금,시가,고가,저가,시가총액,시가총액비중(%),상장주식수,외국인 보유주식수,외국인 지분율(%),총카운트
201,006040,동원산업,230000,-6500,-2.8,1652,381740000,235000,236000,228500,845857430000,0.06,3677641,,,
202,049770,동원F&B,216500,-1000,-0.5,8736,1885548000,215000,218500,210500,835500346000,0.06,3859124,,,
203,005250,녹십자홀딩스,17750,-800,-4.3,55903,996007900,18200,18250,17650,834750727500,0.06,47028210,,,
204,185750,종근당,80000,-800,-1.0,14742,1174842100,79800,80200,78800,829623200000,0.06,10370290,,,
205,032350,롯데관광개발,12000,100,0.8,40597,488902850,11900,12200,11700,828124080000,0.06,69010340,,,
206,214370,케어젠,76500,0,0.0,0,0,0,0,0,821839500000,0.05,10743000,,,
207,192400,쿠쿠홀딩스,114500,-6500,-5.4,6342,737989000,119000,119500,114500,814374036500,0.05,7112437,,,
208,046890,서울반도체,13950,-50,-0.4,252002,3513894300,13650,14200,13650,813360330000,0.05,58305400,,,
209,145720,덴티움,71400,-2200,-3.0,31022,2206027800,73300,73400,70200,790314462000,0.05,11068830,,,
210,298380,에이비엘바이오,17400,300,1.8,453486,7807223850,16700,17700,16600,788278290000,0.05,45303350,,,
211,058470,리노공업,51700,-700,-1.3,150061,7730064500,51500,52100,51000,788030529000,0.05,15242370,,,
212,241590,화승엔터프라이즈,12950,-500,-3.7,109588,1440409450,13450,13550,12950,783949876500,0.05,60536670,,,
213,064960,S&T모티브,53300,600,1.1,130682,6964747700,52100,53900,52000,779413148800,0.05,14623136,,,
214,034310,NICE,20350,-400,-1.9,90026,1822124800,20450,20650,19950,770904805000,0.05,37882300,,,
215,005290,동진쎄미켐,14950,-400,-2.6,2008130,30676359400,15200,15650,14950,768646685300,0.05,51414494,,,
216,018250,애경산업,29050,-100,-0.3,166305,4815830600,28400,29700,28050,765366841750,0.05,26346535,,,
217,008060,대덕전자,9700,-20,-0.2,462033,4458204470,9640,9730,9520,756667628400,0.05,78006972,,,
218,105630,한세실업,18900,-1000,-5.0,257290,4869909750,19800,19800,18550,756000000000,0.05,40000000,,,
219,005610,SPC삼립,86700,-2000,-2.2,7099,616263400,87600,87600,86200,748135080300,0.05,8629009,,,
220,115390,락앤락,13750,-150,-1.1,81903,1143106500,14000,14500,13700,745065750000,0.05,54186600,,,
221,090435,아모레퍼시픽우,70300,1200,1.7,10057,693297300,69100,70400,67000,742215449000,0.05,10557830,,,
222,001680,대상,21300,-750,-3.4,160385,3434825600,21500,21700,21250,738002932500,0.05,34648025,,,
223,020000,한섬,29750,-1000,-3.2,70021,2083466200,30250,30600,29450,732742500000,0.05,24630000,,,
224,003520,영진약품,3980,-65,-1.6,320344,1270218485,3980,4020,3920,727913069380,0.05,182892731,,,
225,006650,대한유화,111500,-2000,-1.8,22266,2485127000,112000,112500,110000,724750000000,0.05,6500000,,,
226,012630,HDC,12100,-100,-0.8,293044,3524581050,12150,12200,11750,722874824100,0.05,59741721,,,
227,200130,콜마비앤에이치,24350,1650,7.3,194647,4595371750,22500,24400,22500,719385637300,0.05,29543558,,,
228,267980,매일유업,91500,9700,11.9,105115,9292386100,85500,91900,83000,717692877000,0.05,7843638,,,
229,192820,코스맥스,71200,200,0.3,199389,14258891700,70700,72600,70100,715525040800,0.05,10049509,,,
230,085660,차바이오텍,13500,500,3.8,313558,4162548100,12850,13650,12650,708487614000,0.05,52480564,,,
231,071840,롯데하이마트,29950,-1550,-4.9,114697,3463168035,31000,31150,29900,707050974400,0.05,23607712,,,
232,041960,코미팜,11000,300,2.8,523369,5751864150,10750,11200,10500,703168125000,0.05,63924375,,,
233,009970,영원무역홀딩스,51000,-100,-0.2,5638,288625500,51100,52400,50200,695415192000,0.05,13635592,,,
234,022100,포스코 ICT,4570,-80,-1.7,168264,768567430,4585,4610,4540,694798711530,0.05,152034729,,,
235,067160,아프리카TV,60200,600,1.0,117532,7066073900,59300,60600,58600,691984973400,0.05,11494767,,,
236,170900,동아에스티,81500,-1200,-1.4,7992,650168700,80900,82000,80700,688175242000,0.05,8443868,,,
237,218410,RFHIC,29100,-300,-1.0,323974,9408665250,28950,29700,28650,685092628200,0.05,23542702,,,
238,048260,오스템임플란트,47700,-850,-1.8,232858,11210177200,48350,49200,47250,681428700900,0.05,14285717,,,
239,052690,한전기술,17700,-300,-1.7,21346,377478050,17800,17800,17550,676494000000,0.05,38220000,,,
240,079160,CJ CGV,31800,-800,-2.4,116685,3736636050,32050,32550,31700,672929753400,0.04,21161313,,,
241,079550,LIG넥스원,30550,250,0.8,117166,3587457350,30100,30950,29950,672100000000,0.04,22000000,,,
242,085620,미래에셋생명,3790,-10,-0.3,69725,263644980,3755,3875,3750,670891356310,0.04,177016189,,,
243,091700,파트론,12250,-1050,-7.9,1896585,24291222250,13700,13850,12200,663416022500,0.04,54156410,,,
244,041510,에스엠,28250,-1550,-5.2,396965,11141356800,28850,28850,27400,661979453250,0.04,23432901,,,
245,000250,삼천당제약,29850,600,2.0,158122,4671194550,29250,30050,29000,659858518050,0.04,22105813,,,
246,298020,효성티앤씨,152000,3500,2.4,12958,1946914500,147500,154000,145500,657807664000,0.04,4327682,,,
247,018670,SK가스,71500,-1400,-1.9,7635,545941800,71500,72600,71000,653637341500,0.04,9141781,,,
248,035900,JYP Ent.,18150,-650,-3.5,414507,7543646850,18450,18550,17950,644234104800,0.04,35494992,,,
249,042000,카페24,68200,-5300,-7.2,172685,12030849600,72900,73000,67600,643166715400,0.04,9430597,,,
250,278280,천보,63800,-1100,-1.7,45970,2911187200,63400,64500,62700,638000000000,0.04,10000000,,,
251,038540,상상인,11400,300,2.7,4782341,53909304600,11150,11950,10550,636670768200,0.04,55848313,,,
252,000990,DB하이텍,14250,100,0.7,348079,4935085750,13950,14350,13900,632679879000,0.04,44398588,,,
253,033640,네패스,27400,-500,-1.8,564956,15424086950,27350,27950,26900,631822134800,0.04,23059202,,,
254,001120,LG상사,16300,0,0.0,80207,1304418350,16150,16400,16000,631788000000,0.04,38760000,,,
255,066970,엘앤에프,25400,-1050,-4.0,327464,8353506250,25650,25900,25200,628871716600,0.04,24758729,,,
256,286940,롯데정보통신,40700,-1050,-2.5,19039,776952550,41300,41500,40500,626630671700,0.04,15396331,,,
257,039840,디오,40050,-250,-0.6,93611,3759165250,40000,40600,39300,621720260100,0.04,15523602,,,
258,089590,제주항공,23050,-350,-1.5,43036,982690300,23300,23300,22200,607523271900,0.04,26356758,,,
259,093050,LF,20700,-1900,-8.4,235952,4938022100,21800,21900,20450,605268000000,0.04,29240000,,,
260,078130,국일제지,4965,-265,-5.1,9377310,47845544565,5150,5310,4925,601662850740,0.04,121180836,,,
261,103140,풍산,21200,-300,-1.4,58236,1227961750,21100,21300,20950,594114693600,0.04,28024278,,,
262,073070,에스모,6770,210,3.2,16012987,110978816320,6530,7300,6390,593504026130,0.04,87666769,,,
263,096530,씨젠,22400,1300,6.2,137695,3011454200,20800,22750,20700,587642048000,0.04,26234020,,,
264,033660,아주캐피탈,10150,50,0.5,42613,435343500,10050,10350,10050,584090783500,0.04,57545890,,,
265,071320,지역난방공사,50200,-1100,-2.1,6208,314644600,51200,51400,50200,581252948800,0.04,11578744,,,
266,005180,빙그레,59000,500,0.8,20069,1180851900,58000,59800,57300,581223219000,0.04,9851241,,,
267,001230,동국제강,6080,110,1.8,306490,1869031840,6200,6210,6030,580231040960,0.04,95432737,,,
268,053800,안랩,57500,500,0.9,51852,2934380700,56300,57500,55900,575796662500,0.04,10013855,,,
269,033290,코웰패션,6310,-140,-2.2,199484,1260093730,6430,6450,6230,571056476540,0.04,90500234,,,
270,003540,대신증권,11200,-100,-0.9,75279,846323450,11100,11400,11100,568662080000,0.04,50773400,,,
271,064760,티씨케이,48500,-1900,-3.8,31522,1534015950,49300,50000,48400,566237500000,0.04,11675000,,,
272,086450,동국제약,63500,-1500,-2.3,22494,1427660900,64500,64500,62800,564642000000,0.04,8892000,,,
273,082640,동양생명,3475,-65,-1.8,41936,146868375,3500,3560,3460,560721082875,0.04,161358585,,,
274,001430,세아베스틸,15550,-50,-0.3,20756,323298600,15450,15750,15400,557655950450,0.04,35862119,,,
275,027410,BGF,5780,-70,-1.2,152805,881897860,5780,5820,5710,553243051980,0.04,95716791,,,
276,003230,삼양식품,73200,7100,10.7,157643,11180387800,69700,73600,67900,551416698000,0.04,7533015,,,
277,108320,실리콘웍스,33650,-350,-1.0,95034,3205792250,33500,34100,33250,547293695000,0.04,16264300,,,
278,005880,대한해운,22350,-1500,-6.3,220142,4926291700,23250,23250,21950,545932364400,0.04,24426504,,,
279,090460,비에이치,17000,300,1.8,288981,4857140950,16350,17200,16300,544974933000,0.04,32057349,,,
280,029960,코엔텍,10800,-1050,-8.9,1945722,21027789850,11450,11450,10250,540000000000,0.04,50000000,,,
281,267270,현대건설기계,27350,-550,-2.0,72688,1982002350,27350,27450,27100,538816688550,0.04,19700793,,,
282,006390,한일현대시멘트,31900,200,0.6,27445,873091250,31000,32300,30700,536599151000,0.04,16821290,,,
283,00680K,미래에셋대우2우B,3810,-60,-1.6,183906,701909610,3850,3850,3795,533400000000,0.04,140000000,,,
284,298050,효성첨단소재,118500,5500,4.9,46925,5438027500,114000,118500,113000,530873838000,0.04,4479948,,,
285,001720,신영증권,56300,-600,-1.0,5913,334226800,56800,59900,56300,528445143100,0.04,9386237,,,
286,004490,세방전지,37300,-950,-2.5,27142,1008041000,38000,38150,36850,522200000000,0.03,14000000,,,
287,060250,NHN한국사이버결제,22700,1300,6.1,868600,19448909550,21200,23000,21150,521450621100,0.03,22971393,,,
288,069080,웹젠,14750,-200,-1.3,78580,1149639850,14700,14850,14450,520835539000,0.03,35310884,,,
289,108670,LG하우시스,57900,-700,-1.2,18352,1070152000,58000,59100,57800,519228093000,0.03,8967670,,,
290,025540,한국단자,49700,-11500,-18.8,127651,6637307550,59700,60300,49450,517625500000,0.03,10415000,,,
291,034830,한국토지신탁,2050,-45,-2.2,444415,919257650,2085,2120,2045,517602921500,0.03,252489230,,,
292,112610,씨에스윈드,29900,-1100,-3.6,48281,1440546500,30400,30400,29500,516842878500,0.03,17285715,,,
293,003470,유안타증권,2580,-60,-2.3,226566,578624875,2595,2595,2520,514959166080,0.03,199596576,,,
294,078070,유비쿼스홀딩스,27500,-1350,-4.7,180876,5026536050,28500,28500,27000,514157270000,0.03,18696628,,,
295,151910,나노스,4690,-170,-3.5,66408,312241995,4860,4860,4665,511273995050,0.03,109013645,,,
296,083790,크리스탈,12600,-250,-2.0,154723,1936811450,12650,12700,12350,509821389000,0.03,40462015,,,
297,298000,효성화학,159500,4500,2.9,12387,1953974500,154000,162000,150000,508825097000,0.03,3190126,,,
298,019680,대교,5970,0,0.0,19469,116707210,5970,6050,5970,505676014500,0.03,84702850,,,
299,036420,제이콘텐트리,35050,-1000,-2.8,123611,4361975800,35950,35950,35050,504961774900,0.03,14406898,,,
300,001060,JW중외제약,24850,-350,-1.4,38487,951503600,24600,25150,24000,504902846700,0.03,20318022,,,
301,000640,동아쏘시오홀딩스,82000,-400,-0.5,7599,622681800,81000,82900,80600,503340354000,0.03,6138297,,,
302,000070,삼양홀딩스,58600,-1700,-2.8,7834,461924100,58600,60000,58600,501866280600,0.03,8564271,,,
