종목명,ROE(자본수익률),EV/EABITDA(이익수익률)
드림시큐리티,14.31,32.12
드림어스컴퍼니,n/a,83.94
드림텍,29.49,0.89
드림티엔터테인먼트,n/a,2.0
디딤,8.37,15.09
디바이스이엔지,25.39,3.15
디스플레이텍,2.01,10.98
디씨엠,4.29,11.84
디아이,7.86,4.49
디아이동일,0.0,6.35
디아이씨,n/a,9.68
디아이티,5.29,17.62
디알젬,20.99,16.37
디알텍,4.31,19.89
디앤씨미디어,14.36,29.15
디에스케이,21.27,5.87
디에스티,n/a,28.81
디에이치피코리아,11.03,10.34
디에이테크놀로지,n/a,52.32
디에이피,7.58,3.46
디엔에이링크,n/a,n/a
디엔에프,16.46,4.43
디엠티,5.2,18.66
디오,4.87,33.68
디오스텍,n/a,n/a
디와이,1.75,4.29
디와이파워,18.33,4.27
디이엔티,n/a,n/a
디자인,3.24,46.13
디젠스,n/a,40.69
디지아이,n/a,n/a
디지캡,5.53,10.5
디지탈옵틱,n/a,n/a
디지털대성,8.48,6.19
디지틀조선,7.24,9.73
디케이디앤아이,8.11,20.43
디케이락,6.92,10.24
디케이앤디,8.78,6.89
디케이티,n/a,7.96
디티알오토모티브,10.76,3.26
디티앤씨,1.98,9.84
디피씨,7.99,15.99
디피코,3.95,18.22
딜리,4.52,105.01
라온시큐어,21.09,14.56
라온테크,n/a,44.81
라이브플렉스,n/a,95.98
라이온켐텍,1.79,20.51
라이트론,n/a,n/a
라이프사이언스테크놀로지,n/a,n/a
락앤락,4.68,19.49
래몽래인,64.73,n/a
램테크놀러지,8.2,12.37
랩지노믹스,n/a,48.89
러셀,0.16,8.53
럭스피아,6.01,2.9
럭슬,n/a,n/a
레고켐바이오,n/a,n/a
레드로버,n/a,n/a
레드캡투어,9.76,2.12
레이언스,8.77,9.66
로고스바이오,n/a,n/a
로보로보,10.89,11.5
로보스타,n/a,51.72
로보쓰리,n/a,n/a
로보티즈,4.87,69.21
로스웰,6.23,4.87
로지시스,4.49,26.27
로체시스템즈,n/a,968.25
롯데관광개발,n/a,230.51
롯데손해보험,16.44,n/a
롯데쇼핑,n/a,8.56
롯데정밀화학,16.72,3.63
롯데정보통신,9.65,7.35
롯데제과,0.94,8.84
롯데지주,2.8,27.46
롯데칠성음료,n/a,10.48
롯데케미칼,13.04,3.91
롯데푸드,6.31,8.36
롯데하이마트,4.18,6.02
루멘스,n/a,185.23
루미마이크로,n/a,n/a
루켄테크놀러지스,2.11,8.22
루트로닉,n/a,n/a
룽투코리아,22.56,10.82
리노공업,19.82,12.01
리노스,3.2,29.48
리더스코스메틱,n/a,n/a
리드,n/a,n/a
리드코프,9.83,18.75
리메드,n/a,n/a
리켐,n/a,30.81
린드먼아시아,12.51,n/a
링네트,6.51,11.76
링크제니시스,10.27,28.73
마니커,n/a,19.81
마이크로컨텍솔,n/a,n/a
마이크로텍,n/a,n/a
마이크로프랜드,n/a,102.98
마제스타,n/a,n/a
마크로젠,3.34,22.41
만도,7.64,5.7
만호제강,1.17,10.05
매일유업,18.39,6.26
매일홀딩스,9.68,3.66
매직마이크로,n/a,23.97
매커스,18.7,5.05
맥스로텍,5.66,5.55
맥쿼리인프라,n/a,n/a
맵스리얼티1,n/a,n/a
머큐리,25.53,13.34
멀티캠퍼스,19.36,10.29
메가스터디,9.12,10.2
메가스터디교육,20.86,4.49
메가엠디,1.91,7.79
메디쎄이,16.31,10.78
메디아나,6.95,10.93
메디안디노스틱,5.45,41.59
메디젠휴먼케어,n/a,n/a
메디톡스,31.5,33.68
메디파트너생명공학,n/a,n/a
메디포스트,n/a,n/a
메디프론,n/a,n/a
메리츠금융지주,13.87,n/a
메리츠종금증권,13.0,n/a
메리츠화재,11.55,n/a
메이슨캐피탈,n/a,n/a
메지온,n/a,n/a
메카로,22.5,3.79
메타랩스,n/a,n/a
메타바이오메드,n/a,85.13
멕아이씨에스,n/a,n/a
멜파스,n/a,n/a
명문제약,1.05,32.48
명성티엔에스,6.73,40.14
명진홀딩스,15.59,14.51
모나리자,n/a,102.96
모나미,0.84,8.09
모다,n/a,n/a
모다이노칩,7.8,6.87
모두투어,9.31,23.46
모두투어리츠,2.16,17.79
모바일리더,13.44,8.97
모바일어플라이언스,7.06,16.98
모베이스,9.79,2.16
모비스,n/a,n/a
모아텍,1.42,24.1
모토닉,2.47,19.42
모트렉스,1.03,20.9
모헨즈,5.2,17.56
무림P&P,11.83,4.79
무림SP,5.63,15.28
무림페이퍼,8.06,5.8
무학,n/a,20.67
문배철강,4.7,19.32
미디어젠,n/a,2882.26
미래SCI,n/a,n/a
미래나노텍,4.19,6.94
미래산업,n/a,n/a
미래생명자원,6.69,24.87
미래아이앤지,n/a,n/a
미래에셋대우,5.83,n/a
