종목명,ROE(자본수익률),EV/EABITDA(이익수익률)
파라다이스,n/a,37.65
파라텍,0.4,135.54
파루,n/a,n/a
파마리서치바이오,n/a,n/a
파마리서치프로덕트,7.65,24.76
파멥신,n/a,n/a
파미셀,n/a,388.42
파버나인,8.72,6.88
파세코,6.88,7.28
파수닷컴,4.9,10.81
파워넷,11.45,10.12
파워로직스,13.95,4.3
파워풀엑스,2.18,18.29
파이오링크,1.09,13.54
파인넥스,n/a,n/a
파인디앤씨,3.88,10.32
파인디지털,2.16,15.13
파인이엠텍,n/a,55.85
파인테크닉스,n/a,n/a
파인텍,n/a,8.65
파커스,4.99,6.75
파크시스템스,16.78,42.74
파트론,3.16,6.13
파티게임즈,26.11,20.18
팍스넷,n/a,102.5
판도라티비,n/a,6.01
판타지오,n/a,28.1
팜스웰바이오,n/a,n/a
팜스코,1.2,15.67
팜스토리,n/a,15.42
패션플랫폼,4.87,6.06
팬스타엔터프라이즈,n/a,15.4
팬엔터테인먼트,n/a,979.22
팬오션,6.06,8.82
팬젠,n/a,n/a
퍼스텍,n/a,n/a
퍼시스,11.3,10.42
퍼시픽바이오,n/a,n/a
펄어비스,42.87,15.56
페이퍼코리아,n/a,39.9
펩트론,n/a,n/a
평화산업,n/a,n/a
평화정공,8.54,1.94
평화홀딩스,n/a,243.53
포레스팅블록체인,n/a,20.16
포메탈,4.91,12.15
포비스티앤씨,3.31,27.97
포스링크,n/a,n/a
포스코,3.88,3.84
포스코 ICT,n/a,11.32
포스코강판,5.24,6.5
포스코엠텍,16.5,12.55
포스코인터내셔널,5.45,9.04
포스코케미칼,18.96,30.75
포시에스,13.69,11.6
포인트엔지니어링,25.04,5.13
포티스,n/a,n/a
폴루스바이오팜,n/a,n/a
푸드나무,22.09,20.66
푸드웰,9.89,7.51
푸른기술,5.2,95.38
푸른저축은행,10.18,n/a
풀무원,7.82,5.85
풍강,1.35,10.18
풍국주정,8.47,12.94
풍산,4.62,8.16
풍산홀딩스,5.09,6.85
퓨전데이타,n/a,n/a
퓨쳐스트림네트웍스,11.12,8.42
퓨쳐켐,n/a,n/a
프럼파스트,4.7,10.89
프로스테믹스,n/a,n/a
프로테옴텍,7.56,128.02
프로텍,16.67,3.53
프리엠스,5.2,24.27
플랜티넷,1.96,10.15
플럼라인생명과학,n/a,n/a
플레이위드,n/a,n/a
피노텍,27.27,21.53
피델릭스,13.15,7.77
피씨디렉트,10.26,7.03
피씨엘,n/a,n/a
피앤씨테크,4.13,23.6
피앤이솔루션,18.33,13.48
피앤텔,n/a,n/a
피에스엠씨,3.06,9.47
피에스케이,n/a,n/a
피에스케이홀딩스,21.41,3.38
피에스텍,n/a,n/a
피엔아이컴퍼니,n/a,35.28
피엔에이치테크,n/a,n/a
피엔티,2.69,17.57
피제이메탈,7.93,10.42
피제이전자,6.9,7.64
픽셀플러스,n/a,n/a
필룩스,n/a,196.85
필링크,n/a,27.86
필옵틱스,n/a,n/a
하나금융10호스팩,0.55,n/a
하나금융11호스팩,0.72,n/a
하나금융9호스팩,0.93,n/a
하나금융지주,8.88,n/a
하나니켈1호,n/a,n/a
하나니켈2호,n/a,n/a
하나마이크론,1.05,4.85
하나머스트제6호스팩,n/a,n/a
하나머티리얼즈,35.33,5.46
하나제약,18.28,9.82
하나투어,4.28,17.74
하림,n/a,11.75
하림지주,6.36,8.9
하이골드12호,6.93,23.0
하이골드3호,11.61,12.44
하이골드8호,9.85,5.45
하이로닉,n/a,68.26
하이록코리아,3.48,14.23
하이비젼시스템,20.91,6.38
하이셈,30.43,3.21
하이스틸,n/a,n/a
하이제4호스팩,n/a,n/a
하이즈항공,1.15,19.02
하이텍팜,2.54,49.06
하이트론씨스템즈,2.14,71.36
하이트진로,1.87,8.6
하이트진로홀딩스,n/a,9.28
하츠,1.86,17.67
한국ANKOR유전,n/a,n/a
한국가구,7.69,7.82
한국가스공사,6.36,9.93
한국경제TV,14.16,5.34
한국공항,5.93,3.31
한국금융지주,12.96,n/a
한국기업평가,18.51,9.34
한국내화,5.66,9.5
한국단자공업,5.8,4.28
한국맥널티,2.42,22.91
한국비엔씨,23.24,10.19
한국석유공업,2.99,14.7
한국선재,7.74,17.41
한국수출포장공업,7.7,2.2
한국쉘석유,25.09,13.39
한국아트라스비엑스,17.32,5.86
한국알콜,10.48,3.94
한국유니온제약,14.38,8.21
한국자산신탁,18.52,n/a
한국전력공사,n/a,8.16
한국전자금융,15.11,6.04
한국전자인증,8.19,19.68
한국전자홀딩스,n/a,12.3
한국정밀기계,n/a,n/a
한국정보공학,n/a,n/a
한국정보인증,10.19,10.75
한국정보통신,14.21,7.72
한국제5호스팩,0.45,n/a
한국제6호스팩,0.94,n/a
한국제7호스팩,n/a,n/a
한국제8호스팩,n/a,n/a
한국제지,n/a,40.24
한국종합기술,n/a,n/a
한국주강,n/a,n/a
한국주철관공업,4.71,8.39
한국철강,1.7,6.07
한국카본,n/a,25.27
한국캐피탈,7.37,n/a
한국컴퓨터,n/a,127.96
한국코퍼레이션,n/a,n/a
한국콜마,11.38,21.94
한국콜마홀딩스,18.57,7.86
한국큐빅,1.56,6.63
한국타이어앤테크놀로지,7.96,4.65
한국테크놀로지,n/a,54.22
한국테크놀로지그룹,6.75,6.84
한국토지신탁,21.75,n/a
한국특수형강,n/a,7.25
한국패러랠,n/a,n/a
한국팩키지,4.2,12.21
한국프랜지공업,0.72,6.16
한국항공우주,5.32,15.21
한국화장품,n/a,n/a
한국화장품제조,6.79,25.71
한글과컴퓨터,3.4,6.95
한네트,3.02,4.63
한농화성,5.32,7.04
한독,2.7,13.14
한라,n/a,6.73
한라IMS,3.32,138.6
한라홀딩스,1.46,14.34
한류AI센터,n/a,n/a
한류타임즈,n/a,n/a
한미글로벌,7.06,7.97
한미반도체,23.37,7.2
한미사이언스,2.73,327.81
한미약품,3.52,45.93
한빛소프트,n/a,84.01
한샘,16.63,20.06
한섬,7.75,7.44
한성기업,n/a,34.67
한세실업,n/a,16.71
한세엠케이,2.61,13.41
한세예스24홀딩스,n/a,9.79
한솔로지스틱스,2.81,4.65
한솔시큐어,n/a,n/a
한솔씨앤피,n/a,n/a
한솔인티큐브,n/a,52.38
한솔제지,6.99,6.23
한솔케미칼,20.12,8.96
한솔테크닉스,n/a,7.04
한솔피엔에스,9.62,4.72
한솔홀딩스,n/a,5.05
한솔홈데코,7.44,9.95
한송네오텍,n/a,38.16
한스바이오메드,6.75,26.02
한신공영,41.29,1.12
한신기계공업,4.24,13.27
한양디지텍,2.34,4.92
한양이엔지,28.01,2.16
한양증권,1.73,n/a
한온시스템,13.83,9.79
한올바이오파마,2.89,253.39
한익스프레스,8.16,10.6
한일네트웍스,8.53,5.83
한일단조,n/a,18.12
한일사료,0.56,31.33
한일시멘트,n/a,7.08
한일진공,n/a,27.83
한일철강,n/a,21.51
한일현대시멘트,n/a,20.3
한일홀딩스,40.39,12.87
한일화학,3.11,6.13
한전KPS,17.08,6.47
한전기술,2.82,17.4
한전산업,16.51,6.91
한중엔시에스,6.25,6.99
한진,5.6,15.28
한진중공업,n/a,25.43
한진중공업홀딩스,2.69,10.25
한진칼,n/a,12.81
한창,n/a,10.99
한창산업,2.72,20.42
한창제지,13.07,11.7
한컴MDS,5.82,10.93
한컴시큐어,0.5,38.07
한컴유니맥스,n/a,19.56
한컴지엠디,3.95,11.63
한탑,n/a,69.91
한프,n/a,n/a
한화,10.73,8.91
한화갤러리아타임월드,4.14,11.18
한화생명,4.22,n/a
한화손해보험,6.29,n/a
한화수성스팩,1.0,n/a
한화에스비아이스팩,n/a,n/a
한화에어로스페이스,1.42,14.49
한화에이스스팩3호,0.28,n/a
한화에이스스팩4호,0.34,n/a
한화케미칼,3.08,9.94
한화투자증권,7.95,n/a
해덕파워웨이,n/a,n/a
해마로푸드서비스,26.3,7.51
해성디에스,11.05,6.32
해성산업,0.53,33.2
해성옵틱스,n/a,8.23
해태제과식품,0.85,10.76
핸디소프트,n/a,n/a
핸즈코퍼레이션,1.31,8.49
헝셩그룹,10.82,2.37
헬릭스미스,n/a,n/a
현대건설,5.99,8.02
현대건설기계,7.47,5.38
현대공업,1.04,16.52
현대그린푸드,6.1,10.08
현대글로비스,10.6,6.02
현대로템,n/a,n/a
현대리바트,9.03,6.91
현대모비스,6.3,6.78
현대미포조선,3.77,20.61
현대바이오,7.34,54.48
현대백화점,5.91,5.55
현대비앤지스틸,5.2,3.81
현대사료,n/a,75.74
현대상선,n/a,n/a
현대약품,0.91,43.06
현대에이치씨엔,5.77,5.49
현대엘리베이터,0.9,17.11
현대오토에버,12.59,0.06
현대위아,n/a,7.76
현대일렉트릭,n/a,n/a
현대자동차,2.2,13.33
현대정보기술,n/a,11.08
현대제철,2.39,6.34
현대종합상사,n/a,11.76
현대중공업,n/a,n/a
현대중공업지주,3.53,10.93
현대차증권,5.84,n/a
현대코퍼레이션홀딩스,2.58,17.98
현대통신,25.22,4.44
현대해상,10.33,n/a
현대홈쇼핑,10.32,8.41
현성바이탈,n/a,n/a
현우산업,8.88,6.55
현진소재,n/a,n/a
형지I&C,n/a,36.7
형지엘리트,n/a,44.9
혜인,n/a,13.16
호전실업,3.88,8.99
호텔신라,15.41,11.96
홈센타홀딩스,n/a,31.13
홈캐스트,n/a,n/a
화성밸브,5.02,24.22
화성산업,13.61,2.58
화승알앤에이,n/a,6.64
화승엔터프라이즈,6.39,11.16
화승인더스트리,7.94,7.86
화신,n/a,11.41
화신정공,1.35,6.03
화신테크,n/a,n/a
화이브라더스코리아,0.32,n/a
화인베스틸,1.97,12.36
화일약품,5.09,9.88
화진,n/a,60.43
화천기계,n/a,32.2
화천기공,4.48,7.45
환인제약,8.56,11.81
황금에스티,6.48,5.64
효성,110.16,6.76
효성 ITX,13.65,7.92
효성오앤비,6.49,24.56
효성중공업,n/a,19.02
효성첨단소재,n/a,11.75
효성티앤씨,n/a,11.67
효성화학,n/a,8.75
후성,16.04,13.26
휘닉스소재,n/a,n/a
휠라코리아,16.03,10.88
휴네시온,6.32,49.63
휴니드테크놀러지스,19.38,3.36
휴럼,n/a,n/a
휴림로봇,n/a,n/a
휴마시스,n/a,n/a
휴맥스,n/a,n/a
휴맥스홀딩스,n/a,n/a
휴메딕스,8.76,15.89
휴벡셀,n/a,n/a
휴비스,4.58,5.9
휴비츠,8.72,9.6
휴스틸,4.39,4.46
휴온스,31.64,12.53
휴온스글로벌,8.22,7.86
휴젤,9.8,25.41
휴켐스,17.02,5.96
흥구석유,3.38,27.95
흥국,14.23,5.59
흥국에프엔비,4.71,5.96
흥국화재,7.69,n/a
흥아해운,n/a,n/a
희림,7.66,8.88
힘스,n/a,n/a
